model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,log_loss_mean,log_loss_std
Logistic Regression,0.5089714719211036,0.007300098595064603,0.4878590482204827,0.006880786690663534,0.5124909280683678,0.007875096116983999,0.9937693371525578,0.011209492147973996
SVM (RBF),0.5004961969216027,0.007718545837344933,0.4782363105376198,0.005515833256364149,0.5027571975326719,0.007515183176722213,0.9900317490142397,0.00737142162485867
XGBoost,0.5074173005130662,0.00615088199766363,0.4445087669193635,0.0045804335341180944,0.4810559648226561,0.004725477699510617,1.0424369325352376,0.014091795554530351
